number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    141                  22                   0.0                  100                  141.0                22.0                
10                   0                    0                    138                  18                   0.0                  100                  138.0                18.0                
10                   0                    0                    88                   13                   0.0                  100                  88.0                 13.0                
10                   0                    0                    113                  15                   0.0                  100                  113.0                15.0                
10                   0                    0                    107                  17                   0.0                  100                  107.0                17.0                
10                   0                    0                    98                   15                   0.0                  100                  98.0                 15.0                
10                   0                    0                    89                   17                   0.0                  100                  89.0                 17.0                
10                   0                    0                    100                  23                   0.0                  100                  100.0                23.0                
10                   0                    0                    111                  15                   0.0                  100                  111.0                15.0                
10                   0                    0                    128                  21                   0.0                  100                  128.0                21.0                
20                   0                    0                    178                  14                   0.0                  100                  177.0                14.0                
20                   0                    0                    165                  14                   0.0                  100                  164.0                14.0                
20                   0                    0                    120                  13                   0.0                  100                  118.0                13.0                
20                   0                    0                    186                  18                   0.0                  100                  186.0                18.0                
20                   0                    0                    141                  14                   0.0                  100                  141.0                14.0                
20                   0                    0                    162                  17                   0.0                  100                  160.0                17.0                
20                   0                    0                    132                  17                   0.0                  100                  127.0                17.0                
20                   0                    0                    176                  12                   0.0                  100                  176.0                12.0                
20                   0                    0                    138                  13                   0.0                  100                  138.0                13.0                
20                   0                    0                    186                  17                   0.0                  100                  186.0                17.0                
30                   0                    0                    266                  13                   0.0                  100                  263.0                13.0                
30                   0                    0                    183                  10                   0.0                  100                  183.0                10.0                
30                   0                    0                    191                  11                   0.0                  100                  190.0                11.0                
30                   0                    0                    217                  14                   0.0                  100                  198.0                14.0                
30                   0                    0                    248                  13                   0.0                  100                  248.0                13.0                
30                   0                    0                    201                  11                   0.0                  100                  200.0                11.0                
30                   0                    0                    199                  15                   0.0                  100                  185.0                15.0                
30                   0                    0                    204                  12                   0.0                  100                  199.0                11.0                
30                   0                    0                    192                  13                   0.0                  100                  192.0                13.0                
30                   0                    0                    220                  14                   0.0                  100                  216.0                14.0                
40                   0                    0                    279                  13                   0.0                  100                  277.0                13.0                
40                   0                    0                    248                  10                   0.0                  100                  240.0                10.0                
40                   0                    0                    200                  9                    0.0                  100                  190.0                9.0                 
40                   0                    0                    240                  13                   0.0                  100                  231.0                12.0                
40                   0                    0                    266                  15                   0.0                  100                  261.0                15.0                
40                   0                    0                    213                  9                    0.0                  100                  212.0                9.0                 
40                   0                    0                    265                  15                   0.0                  100                  252.0                15.0                
40                   0                    0                    228                  11                   0.0                  100                  227.0                11.0                
40                   0                    0                    252                  12                   0.0                  100                  245.0                12.0                
40                   0                    0                    258                  11                   0.0                  100                  255.0                11.0                
50                   0                    0                    321                  13                   0.001                100                  319.0                13.0                
50                   0                    0                    264                  9                    0.002                100                  258.0                9.0                 
50                   0                    0                    244                  10                   0.0                  100                  239.0                10.0                
50                   0                    0                    259                  10                   0.0                  100                  259.0                10.0                
50                   0                    0                    271                  13                   0.001                100                  267.0                13.0                
50                   0                    0                    253                  10                   0.0                  100                  248.0                10.0                
50                   0                    0                    288                  12                   0.0                  100                  277.0                12.0                
50                   0                    0                    249                  10                   0.0                  100                  243.0                10.0                
50                   0                    0                    317                  14                   0.001                100                  307.0                14.0                
50                   0                    0                    272                  11                   0.0                  100                  269.0                11.0                
