number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    96                   23                   0.0                  100                  96.0                 23.0                
10                   0                    0                    114                  19                   0.0                  100                  113.0                19.0                
10                   0                    0                    165                  26                   0.0                  100                  165.0                26.0                
10                   0                    0                    144                  20                   0.0                  100                  144.0                20.0                
10                   0                    0                    141                  20                   0.0                  100                  141.0                20.0                
10                   0                    0                    117                  22                   0.0                  100                  117.0                22.0                
10                   0                    0                    160                  26                   0.0                  100                  160.0                26.0                
10                   0                    0                    108                  20                   0.0                  100                  108.0                20.0                
10                   0                    0                    133                  18                   0.0                  100                  133.0                18.0                
10                   0                    0                    137                  22                   0.0                  100                  137.0                22.0                
20                   0                    0                    148                  16                   0.0                  100                  145.0                16.0                
20                   0                    0                    215                  19                   0.0                  100                  200.0                19.0                
20                   0                    0                    303                  22                   0.0                  100                  273.0                22.0                
20                   0                    0                    232                  19                   0.0                  100                  228.0                19.0                
20                   0                    0                    197                  16                   0.0                  100                  197.0                16.0                
20                   0                    0                    226                  16                   0.0                  100                  226.0                16.0                
20                   0                    0                    260                  24                   0.0                  100                  259.0                24.0                
20                   0                    0                    199                  14                   0.0                  100                  196.0                14.0                
20                   0                    0                    233                  18                   0.0                  100                  221.0                18.0                
20                   0                    0                    206                  19                   0.0                  100                  205.0                19.0                
30                   0                    0                    236                  19                   0.0                  100                  233.0                19.0                
30                   0                    0                    250                  17                   0.0                  100                  234.0                17.0                
30                   0                    0                    353                  17                   0.0                  100                  327.0                17.0                
30                   0                    0                    210                  12                   0.0                  100                  206.0                12.0                
30                   0                    0                    261                  17                   0.0                  100                  257.0                17.0                
30                   0                    0                    253                  17                   0.0                  100                  253.0                17.0                
30                   0                    0                    303                  16                   0.0                  100                  302.0                16.0                
30                   0                    0                    252                  18                   0.0                  100                  248.0                18.0                
30                   0                    0                    327                  18                   0.0                  100                  304.0                18.0                
30                   0                    0                    269                  15                   0.0                  100                  259.0                15.0                
40                   0                    0                    263                  16                   0.0                  100                  261.0                16.0                
40                   0                    0                    302                  13                   0.0                  100                  300.0                13.0                
40                   0                    0                    381                  16                   0.0                  100                  360.0                16.0                
40                   0                    0                    227                  11                   0.0                  100                  223.0                11.0                
40                   0                    0                    257                  14                   0.0                  100                  256.0                14.0                
40                   0                    0                    251                  14                   0.0                  100                  244.0                14.0                
40                   0                    0                    290                  13                   0.0                  100                  287.0                13.0                
40                   0                    0                    277                  14                   0.0                  100                  264.0                14.0                
40                   0                    0                    396                  17                   0.0                  100                  375.0                17.0                
40                   0                    0                    269                  16                   0.0                  100                  263.0                15.0                
50                   0                    0                    337                  15                   0.001                100                  321.0                15.0                
50                   0                    0                    356                  12                   0.0                  100                  349.0                11.0                
50                   0                    0                    402                  15                   0.001                100                  373.0                15.0                
50                   0                    0                    276                  10                   0.0                  100                  267.0                10.0                
50                   0                    0                    296                  13                   0.001                100                  288.0                13.0                
50                   0                    0                    305                  14                   0.001                100                  298.0                14.0                
50                   0                    0                    290                  13                   0.001                100                  283.0                13.0                
50                   0                    0                    370                  16                   0.001                100                  352.0                16.0                
50                   0                    0                    398                  14                   0.001                100                  396.0                14.0                
50                   0                    0                    334                  15                   0.001                100                  304.0                15.0                
